galaxy,source_file,status,n_rows,has_nan,missing_columns,non_positive_r,non_positive_v_err,negative_v_obs,not_monotonic_r,duplicate_r_count,r_min,r_max,v_obs_min,v_obs_max,notes
NGC2403,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2403.csv,ok,73,False,,0,0,0,False,0,0.16,20.87,24.5,136.0,
NGC2683,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2683.csv,ok,11,False,,0,0,0,False,0,2.89,34.62,150.0,212.0,
NGC2841,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2841.csv,ok,50,False,,0,0,0,False,0,3.44,63.64,271.0,323.0,
NGC2903,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2903.csv,ok,34,False,,0,0,0,False,0,0.32,24.96,44.0,216.0,
NGC2915,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2915.csv,ok,30,False,,0,0,0,False,0,0.34,10.04,13.5,86.5,
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2955.csv,ok,24,False,,0,0,0,False,0,0.75,35.43,169.0,276.0,
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2976.csv,ok,27,False,,0,0,0,False,0,0.11,2.27,6.8,88.7,
NGC2998,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC2998.csv,ok,13,False,,0,0,0,False,0,0.33,42.28,90.0,214.0,
NGC3109,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3109.csv,ok,25,False,,0,0,0,False,0,0.26,6.45,6.1,67.3,
NGC3198,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3198.csv,ok,43,False,,0,0,0,False,0,0.32,44.08,24.4,157.0,
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3521.csv,ok,41,False,,0,0,0,False,0,0.51,17.74,143.0,220.0,
NGC3726,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3726.csv,ok,12,False,,0,0,0,False,0,3.5,32.52,102.0,169.0,
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3741.csv,ok,21,False,,0,0,0,False,0,0.23,7.0,13.1,51.6,
NGC3769,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3769.csv,ok,12,False,,0,0,0,False,0,1.74,37.16,87.5,126.0,
NGC3877,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3877.csv,ok,13,False,,0,0,0,False,0,0.87,11.35,37.8,171.0,
NGC3893,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3893.csv,ok,10,False,,0,0,0,False,0,1.74,19.05,145.0,194.0,
NGC3917,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3917.csv,ok,17,False,,0,0,0,False,0,0.87,14.86,24.3,138.0,
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3949.csv,ok,7,False,,0,0,0,False,0,1.74,7.07,123.0,169.0,
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3953.csv,ok,8,False,,0,0,0,False,0,3.5,15.68,181.0,224.0,
NGC3972,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3972.csv,ok,10,False,,0,0,0,False,0,0.87,8.72,39.6,134.0,
NGC3992,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC3992.csv,ok,9,False,,0,0,0,False,0,9.19,46.02,237.0,272.0,
NGC4010,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4010.csv,ok,12,False,,0,0,0,False,0,0.87,10.47,39.3,129.0,
NGC4013,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4013.csv,ok,36,False,,0,0,0,False,0,5.49,31.01,162.0,198.0,
NGC4051,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4051.csv,ok,7,False,,0,0,0,False,0,1.74,12.19,116.0,161.0,
NGC4068,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4068.csv,ok,6,False,,0,0,0,False,0,0.21,2.33,4.68,41.9,
NGC4085,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4085.csv,ok,7,False,,0,0,0,False,0,0.87,6.2,42.2,136.0,
NGC4088,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4088.csv,ok,12,False,,0,0,0,False,0,1.74,21.48,84.9,182.0,
NGC4100,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4100.csv,ok,24,False,,0,0,0,False,0,2.61,22.76,120.0,195.0,
NGC4138,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4138.csv,ok,7,False,,0,0,0,False,0,2.61,18.58,145.0,195.0,
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4157.csv,ok,17,False,,0,0,0,False,0,1.74,29.61,96.4,201.0,
NGC4183,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4183.csv,ok,23,False,,0,0,0,False,0,0.87,21.02,47.1,115.0,
NGC4214,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4214.csv,ok,14,False,,0,0,0,False,0,0.21,5.63,55.5,80.6,
NGC4217,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4217.csv,ok,19,False,,0,0,0,False,0,0.87,16.72,47.8,191.0,
NGC4389,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4389.csv,ok,6,False,,0,0,0,False,0,0.87,5.32,27.3,110.0,
NGC4559,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC4559.csv,ok,32,False,,0,0,0,False,0,0.67,20.97,43.8,124.0,
NGC5005,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC5005.csv,ok,18,False,,0,0,0,False,0,0.49,11.47,211.0,265.0,
NGC5033,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC5033.csv,ok,22,False,,0,0,0,False,0,0.76,44.59,191.0,225.0,
NGC5055,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC5055.csv,ok,28,False,,0,0,0,False,0,0.72,54.59,125.0,206.0,
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC5371.csv,ok,19,False,,0,0,0,False,0,1.45,46.24,207.0,242.0,
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC5585.csv,ok,24,False,,0,0,0,False,0,0.09,10.96,11.2,92.3,
NGC5907,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC5907.csv,ok,19,False,,0,0,0,False,0,5.03,50.33,211.0,235.0,
NGC5985,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC5985.csv,ok,33,False,,0,0,0,False,0,3.54,34.72,223.0,305.0,
NGC6015,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC6015.csv,ok,44,False,,0,0,0,False,0,0.34,29.23,35.5,166.0,
NGC6195,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC6195.csv,ok,23,False,,0,0,0,False,0,1.33,36.43,175.0,258.0,
NGC6503,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\NGC6503.csv,ok,31,False,,0,0,0,False,0,0.76,23.5,77.0,121.0,
