galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
UGC01281,2.07,39.9,22.656195620624395,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,3,2.791010051052542,0.13122739498233038,0.10886993444760118,225525.31262789402,1752370.1968804153,0.5916731469460054,1036830.3890026263,0.40832685305399463,0.36787944117144233,0.5,0.1940067007016948,15785662.905427815,13.211776500000003,22.656195620624395,0.4321755483552783,0.17646888162679528
UGC01281,2.38,44.4,24.25746070799662,4.58,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,4,2.668810910922092,0.18851771137475026,0.4084178601600267,1447352.7679947338,2427467.316211533,0.5597714274716562,1358826.84473652,0.4402285725283438,0.2409956244885464,0.5895874796101491,0.11254060728139474,18798253.924912784,21.265627499999997,24.25746070799662,0.45366079486494093,0.19971444413546674
UGC01281,2.53,46.7,24.82544662236714,5.91,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,4,2.668810910922092,0.18851771137475026,0.4084178601600267,1447352.7679947338,2427467.316211533,0.5597714274716562,1358826.84473652,0.4402285725283438,0.2409956244885464,0.5895874796101491,0.11254060728139474,18798253.924912784,21.265627499999997,24.82544662236714,0.46840585391076794,0.20620564043105732
UGC01281,2.68,48.5,25.26107281965673,7.72,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,4,2.668810910922092,0.18851771137475026,0.4084178601600267,1447352.7679947338,2427467.316211533,0.5597714274716562,1358826.84473652,0.4402285725283438,0.2409956244885464,0.5895874796101491,0.11254060728139474,18798253.924912784,21.265627499999997,25.26107281965673,0.4791531377390365,0.21093690184933295
UGC01281,2.76,49.3,25.400472436551254,9.73,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,4,2.668810910922092,0.18851771137475026,0.4084178601600267,1447352.7679947338,2427467.316211533,0.5597714274716562,1358826.84473652,0.4402285725283438,0.2409956244885464,0.5895874796101491,0.11254060728139474,18798253.924912784,21.265627499999997,25.400472436551254,0.48477743536407186,0.2134128783642768
UGC01281,3.46,54.1,26.58210676376122,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,5,2.4139746283030417,0.25483628261905045,0.7135012220964791,1735842.5065499244,2495178.0581213124,0.5280842299901496,1317664.18351131,0.4719157700098504,0.11011100137999415,0.6600887299275392,0.05735024779797223,9546723.325059151,73.1106675,26.58210676376122,0.5086486734979442,0.24003933041827133
UGC01281,3.83,55.0,26.48306062372701,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,5,2.4139746283030417,0.25483628261905045,0.7135012220964791,1735842.5065499244,2495178.0581213124,0.5280842299901496,1317664.18351131,0.4719157700098504,0.11011100137999415,0.6600887299275392,0.05735024779797223,9546723.325059151,73.1106675,26.48306062372701,0.5184898068413271,0.24468351643778347
UGC01281,4.23,55.7,25.987221859983418,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,5,2.4139746283030417,0.25483628261905045,0.7135012220964791,1735842.5065499244,2495178.0581213124,0.5280842299901496,1317664.18351131,0.4719157700098504,0.11011100137999415,0.6600887299275392,0.05735024779797223,9546723.325059151,73.1106675,25.987221859983418,0.5334430545783947,0.2517401898577698
UGC01281,4.62,56.4,26.820986186193824,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,5,2.4139746283030417,0.25483628261905045,0.7135012220964791,1735842.5065499244,2495178.0581213124,0.5280842299901496,1317664.18351131,0.4719157700098504,0.11011100137999415,0.6600887299275392,0.05735024779797223,9546723.325059151,73.1106675,26.820986186193824,0.5244505995355705,0.24749650851195645
UGC01281,4.99,56.9,27.403366581498705,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,5,2.4139746283030417,0.25483628261905045,0.7135012220964791,1735842.5065499244,2495178.0581213124,0.5280842299901496,1317664.18351131,0.4719157700098504,0.11011100137999415,0.6600887299275392,0.05735024779797223,9546723.325059151,73.1106675,27.403366581498705,0.5183942604306027,0.2446384265797948
