galaxy,n_points,n_segments,mean_Dw_i,mean_Dw_smooth_i,mean_abs_dDw_dr_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,propagation_term_mean,propagation_source_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
NGC4183,23,5,2.2514120650391183,2.2511894110308788,0.010297933262693485,0.5101029242593044,0.03534070918237192,0.30366475554203115,0.15434823878563675,-0.20792313816276217,0.11220370939820906,0.48441815090024853,3.5,41664180.60558628
NGC5907,19,4,2.16086671598128,2.160374619489102,0.0028169510120898337,0.4966819057158735,0.0332866310221997,0.16779597136578384,0.08604930237959056,0.748256570326944,0.13186051306873137,0.4898902834288724,10.07,56853720.71159631
NGC5985,33,5,2.1409455579805514,2.143363874547954,0.0037753120702927042,0.46423107328951413,0.07147076563953744,0.27895294167349766,0.1283147227436524,-0.38610259164617067,0.11837505362244845,0.548975927716887,4.4799999999999995,480240442.70134723
UGC01281,25,5,2.7305281114276942,2.741812202012086,0.0919759491602518,0.46329249973725894,0.12545860854619903,0.5286287579286911,0.22940965257416676,-0.21642653708615797,0.17413006285677604,0.5691374094819779,2.0,9546723.325059151
UGC04278,25,5,2.51498757826277,2.5044471746398145,0.051923934998416486,0.48022267804931645,0.056275496652557225,0.36461303264705647,0.17559321060246372,0.07310586982862546,0.12651631466372687,0.40488846775754433,2.0,31383623.388630666
UGC05721,23,5,2.3963527282698665,2.3874876875358417,0.14168483924844227,0.5113937001461946,0.06583297566762167,0.4341673197665485,0.2309861819962909,0.7491992536251453,0.10045403684299874,0.3968039585694855,2.0,338250959.87158346
UGC05750,11,2,2.2002487898092395,2.2002487898092395,0.0,0.0,0.0,0.3282843652183315,0.0,,0.0,0.0,10.905000000000001,8696545.294549238
UGC05986,15,3,2.188879812817919,2.1900642061708697,0.008566486533004982,0.4837229402327798,0.026076106082970826,0.3340296284544621,0.16465116523273596,0.962103500688699,0.18768597984072077,0.49968823204745516,2.51,280998407.210728
UGC06667,9,2,2.3504146211299335,2.3504146211299335,0.0,0.0,0.0,0.6643232861368441,0.0,,0.0,0.0,3.0549999999999997,5283780.848382281
UGC06917,11,2,2.1740266272968984,2.1740266272968984,0.0,0.0,0.0,0.287385999000979,0.0,,0.0,0.0,3.93,130149362.79198126
UGC07089,12,3,2.3338375871639054,2.3313177461817083,0.013503483377047293,0.501439849754656,0.030141750805741316,0.17362566698812187,0.09017033931340492,0.9727456661169686,0.16914525591354276,0.4937511378495369,2.1799999999999997,33142347.834162552
UGC08490,30,5,2.222434101871907,2.217294884534707,0.025159442831601497,0.4853883199461016,0.04911245215422453,0.47742093590852785,0.23258124828258955,0.1497247484853605,0.11862812249565327,0.45008543691906705,2.0,141319636.07975358
UGC08837,8,2,2.241079153589413,2.241079153589413,0.0,0.0,0.0,0.22134213727346225,0.0,,0.0,0.0,2.0,115412041.66949572
UGC12506,31,5,2.092870371169788,2.094398771470325,0.0009009188259631908,0.5160317321845461,0.04228865608901189,0.3496857426105141,0.1793894390201206,-0.3075529093731468,0.11529591534674068,0.46445046080910496,8.200000000000001,399782756.29640204
