galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
UGC12506,17.21,245.0,182.46059574604047,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.112870858319504,2.1031762155595155,-0.0008514569735387464,0.46539191720028716,0.10509588091812334,0.5186066608842351,0.5186066608842351,8.200000000000001,8.200000000000001,503343906.1254836,253.14689035382455,2,182.46059574604047,0.25526287450595725,0.13238102699524604
UGC12506,18.85,249.0,181.5118676560847,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.107442403541395,2.102405469128977,-0.0009409121903350632,0.4880601913131071,0.11080587659096063,0.5310111014737252,0.5310111014737252,8.200000000000001,8.200000000000001,482619039.04559416,286.44748392304086,2,181.5118676560847,0.27103667607998116,0.14392348390500806
UGC12506,20.49,248.0,178.51256202295679,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.1020139487632856,2.1016347226984387,-0.0010303674071313797,0.510728465425927,0.11651587226379789,0.5434155420632153,0.5434155420632153,8.200000000000001,8.200000000000001,461894171.9657048,319.74807749225715,3,178.51256202295679,0.2801912821654968,0.15226029747935077
UGC12506,22.13,250.0,175.417465778069,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0965854939851765,2.1008639762679002,-0.0011198226239276963,0.5333967395387468,0.12222586793663517,0.5558199826527054,0.5558199826527054,8.200000000000001,8.200000000000001,441169304.8858154,353.04867106147356,3,175.417465778069,0.29833013688772403,0.16581785150971398
UGC12506,23.77,255.0,171.61761040173005,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0911570392070673,2.1000932298373614,-0.0012092778407240131,0.5560650136515667,0.12793586360947246,0.5682244232421955,0.5682244232421955,8.200000000000001,8.200000000000001,420444437.80592597,386.34926463068985,3,171.61761040173005,0.3269897631304704,0.18580356956091365
UGC12506,25.41,244.0,167.436175899953,14.9,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.085747915831375,2.09931451727758,-0.00129841139403238,0.5786545769947982,0.13361462322470793,0.5805624714344674,0.5805624714344674,8.200000000000001,8.200000000000001,399828254.1422392,419.5324828185054,3,167.436175899953,0.3137861643444549,0.18217247107375867
UGC12506,27.05,244.0,164.22317010702233,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.086660161045928,2.095930880455395,-0.001282360986781177,0.5755057186826051,0.1290791920041547,0.5711902057363759,0.5711902057363759,8.200000000000001,8.200000000000001,414751547.57683724,414.33395128825634,3,164.22317010702233,0.3269542208728593,0.186753048686745
UGC12506,28.68,249.0,162.0728740412781,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0875668437896606,2.0925678755650523,-0.0012664084478668713,0.5723760607259741,0.12457141585201947,0.5618750879998582,0.5618750879998582,8.200000000000001,8.200000000000001,429583845.3197609,409.1671181209966,3,162.0728740412781,0.3491049235290036,0.19615335962904265
UGC12506,30.32,251.0,160.28451266419972,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0884790890042138,2.089184238742867,-0.0012503580406156682,0.5692272024137811,0.12003598463146624,0.5525028223017667,0.5525028223017667,8.200000000000001,8.200000000000001,444507138.75435895,403.96858659074746,3,160.28451266419972,0.3614162842063756,0.19968351704983997
UGC12506,31.96,249.0,158.29657766357425,11.6,1.68,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC12506_structure_enriched.csv,2.0893913342187664,2.085800601920682,-0.001234307633364465,0.5660783441015881,0.115500553410913,0.5431305566036753,0.5431305566036753,8.200000000000001,8.200000000000001,459430432.188957,398.7700550604984,4,158.29657766357425,0.36427077243544476,0.19784658738731384
