galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected
NGC3741,NGC3741.csv,data/derived/sparc/NGC3741.csv,NGC,3741,NGC3741,21,SPARC
NGC3769,NGC3769.csv,data/derived/sparc/NGC3769.csv,NGC,3769,NGC3769,12,SPARC
NGC3877,NGC3877.csv,data/derived/sparc/NGC3877.csv,NGC,3877,NGC3877,13,SPARC
NGC3893,NGC3893.csv,data/derived/sparc/NGC3893.csv,NGC,3893,NGC3893,10,SPARC
NGC3917,NGC3917.csv,data/derived/sparc/NGC3917.csv,NGC,3917,NGC3917,17,SPARC
NGC3949,NGC3949.csv,data/derived/sparc/NGC3949.csv,NGC,3949,NGC3949,7,SPARC
NGC3953,NGC3953.csv,data/derived/sparc/NGC3953.csv,NGC,3953,NGC3953,8,SPARC
NGC3972,NGC3972.csv,data/derived/sparc/NGC3972.csv,NGC,3972,NGC3972,10,SPARC
NGC3992,NGC3992.csv,data/derived/sparc/NGC3992.csv,NGC,3992,NGC3992,9,SPARC
NGC4010,NGC4010.csv,data/derived/sparc/NGC4010.csv,NGC,4010,NGC4010,12,SPARC
NGC4013,NGC4013.csv,data/derived/sparc/NGC4013.csv,NGC,4013,NGC4013,36,SPARC
NGC4051,NGC4051.csv,data/derived/sparc/NGC4051.csv,NGC,4051,NGC4051,7,SPARC
NGC4068,NGC4068.csv,data/derived/sparc/NGC4068.csv,NGC,4068,NGC4068,6,SPARC
NGC4085,NGC4085.csv,data/derived/sparc/NGC4085.csv,NGC,4085,NGC4085,7,SPARC
NGC4088,NGC4088.csv,data/derived/sparc/NGC4088.csv,NGC,4088,NGC4088,12,SPARC
NGC4100,NGC4100.csv,data/derived/sparc/NGC4100.csv,NGC,4100,NGC4100,24,SPARC
NGC4138,NGC4138.csv,data/derived/sparc/NGC4138.csv,NGC,4138,NGC4138,7,SPARC
NGC4157,NGC4157.csv,data/derived/sparc/NGC4157.csv,NGC,4157,NGC4157,17,SPARC
NGC4183,NGC4183.csv,data/derived/sparc/NGC4183.csv,NGC,4183,NGC4183,23,SPARC
NGC4214,NGC4214.csv,data/derived/sparc/NGC4214.csv,NGC,4214,NGC4214,14,SPARC
NGC4217,NGC4217.csv,data/derived/sparc/NGC4217.csv,NGC,4217,NGC4217,19,SPARC
NGC4389,NGC4389.csv,data/derived/sparc/NGC4389.csv,NGC,4389,NGC4389,6,SPARC
NGC4559,NGC4559.csv,data/derived/sparc/NGC4559.csv,NGC,4559,NGC4559,32,SPARC
NGC5005,NGC5005.csv,data/derived/sparc/NGC5005.csv,NGC,5005,NGC5005,18,SPARC
NGC5033,NGC5033.csv,data/derived/sparc/NGC5033.csv,NGC,5033,NGC5033,22,SPARC
