galaxy_id,filename,catalog_prefix,catalog_number,name_normalized,row_count,galaxy_name_loose,s4g_name_loose,Name,RAJ2000,DEJ2000,amaj,PA,ell,3.6,e_3.6,4.5,e_4.5,c31,c42,M3.6,M4.5,logM*,Dmean,e_Dmean,TT,e_TT,Vr,e_Vr,match_status
F583-1,F583-1.csv,F,583-1,F5831,25,F5831,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
F583-4,F583-4.csv,F,583-4,F5834,12,F5834,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
IC4202,IC4202.csv,IC,4202,IC4202,32,IC4202,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
KK98-251,KK98-251.csv,KK,98-251,KK98251,15,KK98251,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC0801,NGC0801.csv,NGC,0801,NGC0801,13,NGC801,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC0891,NGC0891.csv,NGC,0891,NGC0891,18,NGC891,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC1003,NGC1003.csv,NGC,1003,NGC1003,36,NGC1003,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC2366,NGC2366.csv,NGC,2366,NGC2366,26,NGC2366,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC2403,NGC2403.csv,NGC,2403,NGC2403,73,NGC2403,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC2915,NGC2915.csv,NGC,2915,NGC2915,30,NGC2915,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC2955,NGC2955.csv,NGC,2955,NGC2955,24,NGC2955,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC2998,NGC2998.csv,NGC,2998,NGC2998,13,NGC2998,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC3109,NGC3109.csv,NGC,3109,NGC3109,25,NGC3109,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC3741,NGC3741.csv,NGC,3741,NGC3741,21,NGC3741,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC6195,NGC6195.csv,NGC,6195,NGC6195,23,NGC6195,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC6674,NGC6674.csv,NGC,6674,NGC6674,15,NGC6674,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC6789,NGC6789.csv,NGC,6789,NGC6789,4,NGC6789,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC6946,NGC6946.csv,NGC,6946,NGC6946,58,NGC6946,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
NGC7331,NGC7331.csv,NGC,7331,NGC7331,36,NGC7331,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
PGC51017,PGC51017.csv,PGC,51017,PGC51017,6,PGC51017,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC00128,UGC00128.csv,UGC,00128,UGC00128,22,UGC128,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC00731,UGC00731.csv,UGC,00731,UGC00731,12,UGC731,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC01230,UGC01230.csv,UGC,01230,UGC01230,11,UGC1230,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC01281,UGC01281.csv,UGC,01281,UGC01281,25,UGC1281,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC02023,UGC02023.csv,UGC,02023,UGC02023,5,UGC2023,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC02259,UGC02259.csv,UGC,02259,UGC02259,8,UGC2259,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC02455,UGC02455.csv,UGC,02455,UGC02455,8,UGC2455,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC02487,UGC02487.csv,UGC,02487,UGC02487,17,UGC2487,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC02885,UGC02885.csv,UGC,02885,UGC02885,19,UGC2885,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC02916,UGC02916.csv,UGC,02916,UGC02916,43,UGC2916,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC02953,UGC02953.csv,UGC,02953,UGC02953,115,UGC2953,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC03205,UGC03205.csv,UGC,03205,UGC03205,48,UGC3205,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC03546,UGC03546.csv,UGC,03546,UGC03546,30,UGC3546,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC03580,UGC03580.csv,UGC,03580,UGC03580,47,UGC3580,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC04278,UGC04278.csv,UGC,04278,UGC04278,25,UGC4278,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC04325,UGC04325.csv,UGC,04325,UGC04325,8,UGC4325,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05005,UGC05005.csv,UGC,05005,UGC05005,11,UGC5005,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05253,UGC05253.csv,UGC,05253,UGC05253,73,UGC5253,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05414,UGC05414.csv,UGC,05414,UGC05414,6,UGC5414,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05716,UGC05716.csv,UGC,05716,UGC05716,12,UGC5716,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05721,UGC05721.csv,UGC,05721,UGC05721,23,UGC5721,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05750,UGC05750.csv,UGC,05750,UGC05750,11,UGC5750,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05986,UGC05986.csv,UGC,05986,UGC05986,15,UGC5986,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC05999,UGC05999.csv,UGC,05999,UGC05999,5,UGC5999,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC06614,UGC06614.csv,UGC,06614,UGC06614,13,UGC6614,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC06786,UGC06786.csv,UGC,06786,UGC06786,45,UGC6786,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC06787,UGC06787.csv,UGC,06787,UGC06787,71,UGC6787,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC06923,UGC06923.csv,UGC,06923,UGC06923,6,UGC6923,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC06973,UGC06973.csv,UGC,06973,UGC06973,9,UGC6973,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07151,UGC07151.csv,UGC,07151,UGC07151,11,UGC7151,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07232,UGC07232.csv,UGC,07232,UGC07232,4,UGC7232,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07261,UGC07261.csv,UGC,07261,UGC07261,7,UGC7261,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07323,UGC07323.csv,UGC,07323,UGC07323,10,UGC7323,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07399,UGC07399.csv,UGC,07399,UGC07399,10,UGC7399,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07524,UGC07524.csv,UGC,07524,UGC07524,31,UGC7524,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07603,UGC07603.csv,UGC,07603,UGC07603,12,UGC7603,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC07866,UGC07866.csv,UGC,07866,UGC07866,7,UGC7866,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC08286,UGC08286.csv,UGC,08286,UGC08286,17,UGC8286,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC08490,UGC08490.csv,UGC,08490,UGC08490,30,UGC8490,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC08550,UGC08550.csv,UGC,08550,UGC08550,11,UGC8550,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC08699,UGC08699.csv,UGC,08699,UGC08699,41,UGC8699,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC09037,UGC09037.csv,UGC,09037,UGC09037,22,UGC9037,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC09133,UGC09133.csv,UGC,09133,UGC09133,68,UGC9133,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC11455,UGC11455.csv,UGC,11455,UGC11455,36,UGC11455,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC11557,UGC11557.csv,UGC,11557,UGC11557,12,UGC11557,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC11820,UGC11820.csv,UGC,11820,UGC11820,10,UGC11820,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC11914,UGC11914.csv,UGC,11914,UGC11914,65,UGC11914,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC12506,UGC12506.csv,UGC,12506,UGC12506,31,UGC12506,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGC12632,UGC12632.csv,UGC,12632,UGC12632,15,UGC12632,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGCA281,UGCA281.csv,UGC,281,UGCA281,7,UGCA281,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGCA442,UGCA442.csv,UGC,442,UGCA442,8,UGCA442,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
UGCA444,UGCA444.csv,UGC,444,UGCA444,36,UGCA444,,,,,,,,,,,,,,,,,,,,,,,still_unmatched
