galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,volume_kpc3,m_enc_inner_msun,m_enc_outer_msun,m_shell_msun,mu_shell_msun_per_kpc3,v_bar_internal_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_bar_internal_km2s2_per_kpc,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_segment_kms,source_file
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,0.35,74.19186781513983,59475037443.23878,105185657792.42068,45710620349.18191,616113621.2809304,221.90782079557766,194.85714285714286,5.0,7,31.01,-3.0,1.9500000000000002,1.9915414047465507,-0.04154140474655055,0.0,0.04154140474655055,2.1767204921604586,0.8603573552739753,0.5,0.24782328281199614,1.214150914346481,0.24782328281199614,6407.687824364633,1153.8305978363767,0.137593053757828,103.98148221366598,5446.534650709938,103.96885106335533,6511.656675427988,223.70087516740764,NGC4013_segment_structure_v7.csv
NGC4013,2,10.56,14.98,12.77,4.42,0.35,124.12551954854106,102001087003.4481,91583229597.92233,1e-12,8.056361041928495e-15,180.49914362500803,182.0,7.142857142857143,7,31.01,-3.0,1.9500000000000002,1.9915414047465507,-0.04154140474655055,0.0,0.04154140474655055,2.1767204921604586,8.056361041928494e-23,0.5,0.4118026443082876,1.0000000000003209,0.4118026443082876,2551.2874588380014,459.2317427708402,0.137593053757828,56.63960368887344,2168.594340012301,56.62672818490605,2607.9141870229073,182.4912714851933,NGC4013_segment_structure_v7.csv
NGC4013,3,15.68,20.79,18.235,5.109999999999999,0.35,204.91539167067666,90745956471.53741,86272342144.80191,1e-12,4.8800628974085005e-15,144.67868483384245,166.25,5.125,8,31.01,0.0,3.0,1.9915414047465507,1.0084585952534493,1.0499999999999998,2.058458595253449,0.00261827933592845,4.8800628974085004e-23,0.5,0.5880361173814898,1.0000000000003835,0.5880361173814898,1147.8980995475906,206.62165809856631,0.9999978062786683,0.31812285342392305,975.713384615452,0.3181228421514603,1148.2162223897421,144.6987312151594,NGC4013_segment_structure_v7.csv
NGC4013,4,21.48,25.2,23.34,3.719999999999999,0.35,190.9377076805821,85994044372.93501,86916522670.78365,922478297.8486328,4831304.979275431,126.15143218923197,172.5,5.0,6,31.01,3.0,4.05,1.9915414047465507,2.058458595253449,1.0499999999999998,3.108458595253449,7.906518501376486e-05,0.04608647178655796,0.5,0.7526604321186714,1.0199913907743392,0.7526604321186714,681.8416385344641,122.7710593496743,0.9999999979995828,0.007452069309515265,579.5653927542945,0.007452069309104584,681.8490906037732,126.15212156239018,NGC4013_segment_structure_v7.csv
NGC4013,5,25.9,31.01,28.455,5.110000000000003,0.35,319.7624058123997,86855987923.48595,85658926655.52174,1e-12,3.1273219797660843e-15,114.36964773183456,177.5,6.125,8,31.01,-3.0,1.9500000000000002,1.9915414047465507,-0.04154140474655055,-2.0999999999999996,2.14154140474655,0.001984912160854074,3.1273219797660843e-23,0.5,0.9176072234762979,1.000000000000479,0.9176072234762979,459.6877990618145,82.7438040111266,0.9999987392403832,0.15070687052543014,390.7346292025423,0.1507068630521017,459.8385059248666,114.38839401832722,NGC4013_segment_structure_v7.csv
NGC4068,1,0.21,2.33,1.27,2.12,0.35,5.920896842367611,2325721.7658588532,490622184.8399524,488296463.0740936,82470016.97108383,22.163802660980462,24.763333333333335,2.9866666666666664,6,2.33,0.0,3.0,3.0,0.0,0.0,0.0,2.5,0.4519647574985041,0.5,0.5450643776824035,1.1668393448563275,0.5450643776824035,386.79854204321623,69.78720097499482,0.0,0.0,328.7787607367338,0.0,386.79854204321623,22.163802660980462,NGC4068_segment_structure_v7.csv
NGC4088,1,1.74,6.98,4.36,5.24,0.35,50.2418576806817,7606598663.073629,114847997147.11539,107241398484.04176,2134503050.5366194,206.23582623980633,140.475,8.925,4,21.48,-3.0,1.9500000000000002,1.9500000000000004,-2.220446049250313e-16,0.0,2.220446049250313e-16,2.4999999999999982,0.9552473199909105,0.5,0.20297951582867785,1.215184972200124,0.20297951582867785,9755.32477633385,1756.7900720225741,7.401486830834377e-16,8.018136590460595e-13,8292.026059883772,8.018136590460595e-13,9755.32477633385,206.23582623980633,NGC4088_segment_structure_v7.csv
NGC4088,2,8.72,13.94,11.33,5.219999999999999,0.35,130.06137037193974,123880562781.36493,138259398590.99585,14378835809.63092,110554238.88362397,228.6614531039015,176.5,6.625,4,21.48,-3.0,1.9500000000000002,1.9500000000000004,-2.220446049250313e-16,0.0,2.220446049250313e-16,2.4999999999999982,0.5250629931261024,0.5,0.5274674115456238,1.1906686232462966,0.5274674115456238,4614.833198198388,830.8592362722383,7.401486830834377e-16,9.655460099449425e-13,3922.60821846863,9.655460099449425e-13,4614.833198198389,228.66145310390152,NGC4088_segment_structure_v7.csv
NGC4088,3,15.68,21.48,18.58,5.800000000000001,0.35,236.98541350501532,134556253295.2329,128652969478.5522,1e-12,4.21966898810351e-15,176.15766912675343,169.5,6.975,4,21.48,-3.0,1.9500000000000002,1.9500000000000004,-2.220446049250313e-16,0.0,2.220446049250313e-16,2.4999999999999982,4.21966898810351e-23,0.5,0.8649906890130353,1.000000000000465,0.8649906890130353,1670.1573946270582,300.6283312128705,7.401486830834377e-16,4.811719677381153e-13,1419.6337854329995,4.811719677381153e-13,1670.1573946270587,176.15766912675346,NGC4088_segment_structure_v7.csv
NGC4157,1,1.74,6.98,4.36,5.24,0.35,50.2418576806817,8863968392.735493,101393004304.20541,92529035911.46992,1841672266.57003,215.8670910476772,161.6,9.475,4,29.61,-3.0,1.9500000000000002,1.9500000000000002,0.0,0.0,0.0,2.5,0.9484980026126395,0.5,0.14724755150287067,1.1819828515889,0.14724755150287067,10687.752522336274,1924.5679187863072,0.0,0.0,9084.589643985832,0.0,10687.752522336274,215.8670910476772,NGC4157_segment_structure_v7.csv
NGC4157,2,8.72,13.94,11.33,5.219999999999999,0.35,130.06137037193974,131657710132.97191,130638306911.3281,1e-12,7.688678022846254e-15,227.09331741195047,192.75,6.525,4,29.61,-3.0,1.9500000000000002,1.9500000000000002,0.0,0.0,0.0,2.5,7.688678022846254e-23,0.5,0.38264099966227627,1.0000000000003093,0.38264099966227627,4551.754175919231,819.3157518454616,0.0,0.0,3868.991049531346,0.0,4551.754175919231,227.09331741195047,NGC4157_segment_structure_v7.csv
