galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
NGC3917,14.86,137.0,93.92352474220715,7.5,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,4,2.14462645144547,0.06770330709283279,0.005252854691545906,52311.99958990428,63226.90576343006,0.7865878172088913,49733.51379332872,0.21341218279110874,1.0,1.0,0.6730007240777683,0.08134291462633123,147094370.03829503,213.8932575,93.92352474220715,0.3144268266992179,0.06710251541396176
NGC4010,0.87,39.3,32.75,6.6,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,1,2.443643609199384,0.13180592909822142,0.652091112322403,3638815.007097171,3992561.4106442686,0.5977199793976572,2386433.7241141736,0.40228002060234275,1.0,0.0,0.0,1.0,42336675.24599494,57.120706999999996,32.75,0.1666666666666666,0.06704667010039043
NGC4010,1.74,54.6,63.957868945111045,5.6,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,1,2.443643609199384,0.13180592909822142,0.652091112322403,3638815.007097171,3992561.4106442686,0.5977199793976572,2386433.7241141736,0.40228002060234275,1.0,0.0,0.0,1.0,42336675.24599494,57.120706999999996,63.957868945111045,0.17138954111924987,0.0689465881324779
NGC4010,2.61,65.5,84.18683982666175,6.7,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,1,2.443643609199384,0.13180592909822142,0.652091112322403,3638815.007097171,3992561.4106442686,0.5977199793976572,2386433.7241141736,0.40228002060234275,1.0,0.0,0.0,1.0,42336675.24599494,57.120706999999996,84.18683982666175,0.2852952645291871,0.1147685848925522
NGC4010,4.37,94.3,99.52326813363797,6.3,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,2,2.3118376801011626,0.09769311973896277,0.1457219418304691,1311047.1375301213,2300692.416099334,0.7653414529299307,1760815.2764823372,0.23465854707006925,0.5,0.6745916675115325,1.0,0.6804832465892451,92093584.7379471,147.22879500000002,99.52326813363797,0.055389905977072884,0.012997714858927667
NGC4010,5.24,104.0,100.64390542899257,5.7,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,2,2.3118376801011626,0.09769311973896277,0.1457219418304691,1311047.1375301213,2300692.416099334,0.7653414529299307,1760815.2764823372,0.23465854707006925,0.5,0.6745916675115325,1.0,0.6804832465892451,92093584.7379471,147.22879500000002,100.64390542899257,0.03227014010584069,0.007572464190984148
NGC4010,6.11,115.0,101.9057628399886,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,2,2.3118376801011626,0.09769311973896277,0.1457219418304691,1311047.1375301213,2300692.416099334,0.7653414529299307,1760815.2764823372,0.23465854707006925,0.5,0.6745916675115325,1.0,0.6804832465892451,92093584.7379471,147.22879500000002,101.9057628399886,0.1138629318261861,0.02671891014747118
NGC4010,7.85,129.0,104.68091755425151,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5950643086355791,423233.99126455095,0.40493569136442087,0.0,1.0,0.9872936344307188,0.0,91188656.95228384,238.5520480000001,104.68091755425151,0.18852001895929063,0.07633848421331409
NGC4010,8.72,127.0,103.32310196659797,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5950643086355791,423233.99126455095,0.40493569136442087,0.0,1.0,0.9872936344307188,0.0,91188656.95228384,238.5520480000001,103.32310196659797,0.18643226797954351,0.07549307932693343
NGC4010,9.6,124.0,99.93100469824168,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5950643086355791,423233.99126455095,0.40493569136442087,0.0,1.0,0.9872936344307188,0.0,91188656.95228384,238.5520480000001,99.93100469824168,0.1941048008206316,0.07859996171745567
NGC4010,10.47,122.0,96.31905989989728,3.9,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5950643086355791,423233.99126455095,0.40493569136442087,0.0,1.0,0.9872936344307188,0.0,91188656.95228384,238.5520480000001,96.31905989989728,0.21049950901723538,0.08523876421576536
NGC4013,5.49,198.0,215.85462932260685,10.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,0.7971198334684033,1785728.8617010408,0.20288016653159666,1.0,0.0,1.0,1.0,1600046992.1374807,54.99155449999999,215.85462932260685,0.09017489556872149,0.018294697829951554
NGC4013,6.17,195.0,222.74844466348134,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,0.7971198334684033,1785728.8617010408,0.20288016653159666,1.0,0.0,1.0,1.0,1600046992.1374807,54.99155449999999,222.74844466348134,0.1422997162229812,0.028869790124717375
NGC4013,6.92,194.0,226.13797160140976,4.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,1,2.221887871903171,0.07033727651671962,0.01917823576793133,2158375.1855018195,2240226.3583519584,0.7971198334684033,1785728.8617010408,0.20288016653159666,1.0,0.0,1.0,1.0,1600046992.1374807,54.99155449999999,226.13797160140976,0.1656596474299472,0.033609056858153276
