r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_density_i,weight_geom_i,weight_density_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
13.44,310.0,277.98028779033956,20.4,ESO563-G021,0.4,277.98,0.0,7150.297619047619,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.205562517434723,0.040323760923894,0.9662055910931215,0.040323760923894,0.03896104325856872,0.5682745107147107,551034.7699081653,2.0076131349382447,2.2155636844427287,0.027750598219218242,0.5492572793759941,318887922616.5412,1.0,0.040680501316727735,0.0047439718733992935,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,1733.559062413393,152.6402102947844,317.1310047895601,-7.131004789560109,32.01971220966044
15.18,310.0,282.2671334038024,16.1,ESO563-G021,3.11,282.25,0.0,6330.698287220026,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.205562517434723,0.040323760923894,0.9662055910931215,0.040323760923894,0.03896104325856872,0.5682745107147107,551034.7699081653,2.0076131349382447,2.2155636844427287,0.027750598219218242,0.5492572793759941,318887922616.5412,1.0,0.040680501316727735,0.0047439718733992935,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,1358.919206918627,143.6258805404679,316.7066910581852,-6.706691058185186,27.732866596197596
16.83,314.0,283.7363587910439,13.5,ESO563-G021,15.18,283.33,0.0,5858.348187759953,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.205562517434723,0.040323760923894,0.9662055910931215,0.040323760923894,0.03896104325856872,0.5682745107147107,551034.7699081653,2.0076131349382447,2.2155636844427287,0.027750598219218242,0.5492572793759941,318887922616.5412,1.0,0.040680501316727735,0.0047439718733992935,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,1105.525967643143,136.40381972450075,314.8210973480559,-0.8210973480559005,30.263641208956074
18.56,317.0,277.4176075882712,12.7,ESO563-G021,22.91,276.47,0.0,5414.27801724138,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.205562517434723,0.040323760923894,0.9662055910931215,0.040323760923894,0.03896104325856872,0.5682745107147107,551034.7699081653,2.0076131349382447,2.2155636844427287,0.027750598219218242,0.5492572793759941,318887922616.5412,1.0,0.040680501316727735,0.0047439718733992935,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,909.0363216698053,129.89116263315063,306.32049087547443,10.679509124525566,39.58239241172879
20.3,319.0,274.1903712751416,10.4,ESO563-G021,33.06,272.19,0.0,5012.857142857143,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.205562517434723,0.040323760923894,0.9662055910931215,0.040323760923894,0.03896104325856872,0.5682745107147107,551034.7699081653,2.0076131349382447,2.2155636844427287,0.027750598219218242,0.5492572793759941,318887922616.5412,1.0,0.040680501316727735,0.0047439718733992935,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,759.8801578692902,124.19970694307854,301.00818411589177,17.991815884108235,44.809628724858385
23.68,317.0,274.2245512349323,9.3,ESO563-G021,39.67,271.34,0.0,4243.623310810811,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.160374106936631,0.046234300024445396,0.9962819266534263,0.05262744529258998,0.05243177259094934,0.692429849132862,551034.7699081653,2.005419967090616,2.1672574820417614,0.02221100743733107,0.5,413175036792.438,1.1382771073589164,0.004507909181364234,0.005439329414640635,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,680.4424323797741,126.93650695821533,302.1787241000813,14.821275899918703,42.77544876506772
25.41,317.0,265.4585180400132,7.23,ESO563-G021,44.98,261.62,0.0,3954.7028728846913,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.160374106936631,0.046234300024445396,0.9962819266534263,0.05262744529258998,0.05243177259094934,0.692429849132862,551034.7699081653,2.005419967090616,2.1672574820417614,0.02221100743733107,0.5,413175036792.438,1.1382771073589164,0.004507909181364234,0.005439329414640635,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,590.9428119407978,122.53920536471449,292.37660927546113,24.623390724538865,51.54148195998681
27.06,312.0,257.17034238029856,8.39,ESO563-G021,46.29,252.97,0.0,3597.339246119734,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.160374106936631,0.046234300024445396,0.9962819266534263,0.05262744529258998,0.05243177259094934,0.692429849132862,551034.7699081653,2.005419967090616,2.1672574820417614,0.02221100743733107,0.5,413175036792.438,1.1382771073589164,0.004507909181364234,0.005439329414640635,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,521.0737555022295,118.74449807839657,283.2610824378992,28.738917562100823,54.829657619701436
28.8,312.0,247.63895028851982,8.37,ESO563-G021,43.21,243.84,0.0,3380.0,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.160374106936631,0.046234300024445396,0.9962819266534263,0.05262744529258998,0.05243177259094934,0.692429849132862,551034.7699081653,2.005419967090616,2.1672574820417614,0.02221100743733107,0.5,413175036792.438,1.1382771073589164,0.004507909181364234,0.005439329414640635,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,460.0126863841534,115.10154372493714,273.0813341623034,38.91866583769661,64.36104971148018
30.53,311.0,238.15547211853016,11.5,ESO563-G021,45.08,233.85,0.0,3168.0641991483785,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.160374106936631,0.046234300024445396,0.9962819266534263,0.05262744529258998,0.05243177259094934,0.692429849132862,551034.7699081653,2.005419967090616,2.1672574820417614,0.02221100743733107,0.5,413175036792.438,1.1382771073589164,0.004507909181364234,0.005439329414640635,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,409.35601469193523,111.79284023829425,263.0887075276033,47.911292472396724,72.84452788146984
