r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
6.86,317.0,8.47,251.9636030184284,284.37957257862246,11788.88357142857,-1338.4619610188824,-1392.2959278418823,-900.6788131132108,101.28277898957434,2.325680813017696,0.5302723252070785,0.2281615063598137,0.441566369727336,-13410.363713415125,-5921.565621655914,-2534.4145851270873,9254.468986301483,0.2149834265281465,96.31337270453025
7.18,320.0,7.63,253.30409522359432,285.497386678057,11352.194679665738,-1305.2198548455563,-1224.8104215495623,-863.6368864823958,101.46645676209373,2.3285927410745777,0.5314370964298312,0.2292816778187865,0.443042528046622,-12278.781892459334,-5440.022570968268,-2415.8486271526817,8936.346052513056,0.21280894975136347,96.31337270453025
7.51,316.0,20.5,254.3102528365547,286.64103840866886,10940.49066577896,-1105.9240109090265,-1175.291322346748,-840.680793082658,101.24693623821095,2.32511314610935,0.5300452584437401,0.22794345015431713,0.43974747249226165,-11439.973643168889,-5030.699494961609,-2328.8122772580023,8611.678388520957,0.21286177634997247,96.31337270453025
7.85,318.0,23.4,255.70987196318586,288.61413842707015,10611.22559235669,-1003.5365870967934,-1152.5353635518532,-832.2279952518704,101.69591889993086,2.332237346216784,0.5328949384867135,0.23068752161608683,0.4443018467104729,-10869.708988319246,-4829.431776715667,-2281.602838289313,8329.622754067377,0.215017842984392,96.31337270453025
8.21,321.0,8.48,255.55574726854692,289.92085747665686,10238.015054811203,-1123.3141978634815,-1147.6767798615958,-833.3612294701923,103.38308985095597,2.359273649809742,0.5437094599238969,0.24124903081834587,0.46382438587263713,-10541.217631510157,-4889.2737942850135,-2283.2355222916635,7954.77953251954,0.22301544880212798,96.31337270453025
8.57,323.0,8.66,253.55186803642792,289.8394476257502,9802.439369894983,-1224.6821670444076,-1185.5415387418564,-840.9282535349608,105.46036629833725,2.3931634862783167,0.5572653945113267,0.2548181804687319,0.48904750041319717,-10339.081088891675,-5056.30176309183,-2300.8582981607756,7501.5810717342065,0.23472303284293872,96.31337270453025
8.9,321.0,12.7,251.43052274054713,289.1324277904504,9392.984359550563,-1280.9269363942697,-1221.6882879784366,-846.6984102978163,106.95383476433611,2.41796326897838,0.567185307591352,0.26498064238836133,0.5077268939827015,-10109.362895642806,-5132.795423148691,-2289.9160712826088,7103.068288267954,0.24379004410395688,96.31337270453025
9.24,323.0,11.0,249.0796395510483,287.47969893542046,8944.218322510822,-1295.2478053103302,-1199.285815514936,-841.1935332907524,107.69989508004633,2.430494537892686,0.5721978151570744,0.270190558154822,0.5168434598958326,-9732.727749816673,-5030.2966844394305,-2229.860439515135,6714.357882995687,0.24930746982137267,96.31337270453025
9.6,323.0,10.4,247.00305589843248,285.42702149586324,8486.310895833332,-1184.2703332796937,-1137.2376333312595,-821.2674676329143,107.75566103940925,2.4314351261048777,0.5725740504419511,0.27058363819530684,0.5166769911021148,-9189.55853021836,-4748.033450949995,-2131.049476753732,6355.2614190796,0.2511161213525714,96.31337270453025
9.93,322.0,13.6,246.30906578902466,284.0806626646734,8127.071792547834,-1011.3018355459781,-1053.5721057538544,-790.103796316231,107.39968296913499,2.425440337981062,0.5701761351924248,0.2680832116237278,0.511068375249291,-8541.475937117288,-4365.278229413448,-2017.4891248880076,6109.582667659826,0.24824305437266544,96.31337270453025
10.27,321.0,13.6,246.04303547134123,283.18853454898203,7808.738666017527,-914.4412561260259,-959.3916893270524,-754.1089177258588,107.05083072079194,2.4195870062716964,0.5678348025086786,0.2656528826892022,0.5055836870805783,-7892.228268471579,-3990.1818672554296,-1914.1743715723778,5894.564294445149,0.24513233870952564,96.31337270453025
10.6,323.0,9.32,245.48451920092407,282.22792065988085,7514.396150943397,-862.5992985072445,-886.6773678767763,-719.7479574967899,107.07706542414434,2.4200264606712447,0.5680105842684979,0.2658349654141906,0.5051031429627529,-7298.181358750642,-3686.3343422171242,-1829.2405691218055,5685.155581821591,0.24343147904068818,96.31337270453025
10.93,322.0,11.9,244.67137892052483,281.29503159494305,7239.423129002746,-824.3457231763198,-836.1581053902289,-688.0957153567833,107.43215761875912,2.425986301328236,0.5703945205312945,0.26831045699899586,0.5089719514473486,-6760.781536701246,-3441.048172044038,-1762.3797929669688,5477.0433360357765,0.24344202038785132,96.31337270453025
11.27,321.0,11.0,244.29788213718933,280.11192852143944,6962.084516415262,-820.698726028313,-778.7854831475875,-650.7838911315514,108.20652211978809,2.439059914554475,0.5756239658217901,0.2737805534462263,0.5184708475883597,-6110.7535528818935,-3168.247573966256,-1666.4806817465794,5295.603834668683,0.23936518981022667,96.31337270453025
12.31,323.0,4.24,238.69640764224198,274.1813868591375,6106.858887083673,-758.7055231132407,-694.3971002251324,-598.1915528982631,109.48953361037275,2.460958732195192,0.5843834928780768,0.28306571746057346,0.5332790875164445,-5201.342728053303,-2773.7673038765597,-1478.4287472533445,4628.430139830329,0.24209315698784178,96.31337270453025
14.35,319.0,4.24,221.2466041148796,257.62889220737645,4625.271505226481,-627.5781449128191,-589.4680411471858,-524.8563966958941,110.32386903209961,2.475363536604813,0.5901454146419252,0.28925706895869724,0.5393798927360142,-4095.9949078342456,-2209.2972940348955,-1214.117509939633,3411.153995286848,0.262496484491278,96.31337270453025
16.4,308.0,4.24,206.68786208733812,240.95031458788344,3540.064274390244,-440.6573838949688,-467.1240627730351,-434.49245877146546,110.68099055631778,2.481569839217722,0.5926279356870888,0.29194507658803137,0.5387496825102107,-2997.3260944408567,-1614.8084817595814,-935.1940101076525,2604.8702642825915,0.2641743023913695,96.31337270453025
18.48,299.0,5.66,196.57994278253517,227.6905538225071,2805.3565097402598,-299.70042778658717,-346.3917572453778,-338.1790860669352,110.63126511739426,2.480704199940153,0.5922816799760613,0.2915694204376593,0.5323386879321262,-2104.6654417360864,-1120.394839789877,-714.2486144813415,2091.1078952589182,0.2546017278023148,96.31337270453025
20.57,299.0,5.66,189.36952395216457,217.05240956967052,2290.313490520175,-208.9788341575594,-248.04403952250013,-252.81581814734875,110.42283620246091,2.4770809935554707,0.5908323974221883,0.28999968210143184,0.5237583824942926,-1435.492348544921,-751.8511505568212,-546.9582838177233,1743.3552067024516,0.23881371964215187,96.31337270453025
22.51,298.0,5.66,186.48441101856113,210.21654882525306,1963.1718080852952,-155.04399547495447,-183.20428043855918,-188.48041150387957,110.44794870305316,2.477517090542062,0.5910068362168248,0.2901883968333383,0.5187915565985558,-978.5244646097392,-507.65023016465506,-418.2390869418196,1544.9327211434756,0.21304252904371787,96.31337270453025
24.59,296.0,5.66,182.02321103129302,202.46587539632452,1667.0366287108582,-135.8395562984306,-141.7163182229206,-145.17577216125807,110.71057516386473,2.4820850868734965,0.5928340347493987,0.2921687892823113,0.5166025327381948,-686.7280226943572,-354.7654358261974,-319.6413723406823,1347.395256370176,0.19174226098910935,96.31337270453025
26.68,293.0,4.24,175.46268225357608,193.0401836406089,1396.7208583208399,-116.45858847526412,-113.88221821756262,-115.81384343064404,110.98377920730964,2.48685128316781,0.594740513267124,0.29424222679452966,0.5144707897646298,-498.89790235635064,-256.6683978371889,-242.77959656598986,1153.94126175485,0.17382112905356292,96.31337270453025
28.77,289.0,4.24,169.30363497872284,184.27017392947778,1180.2397288842542,-92.26061670839437,-93.45700905066414,-93.6268524388525,111.02490709805717,2.487570045587508,0.5950280182350032,0.29455554066117495,0.5092145108934649,-371.35591712525826,-189.09982170633248,-183.9338263118308,996.3059025724234,0.1558444626209233,96.31337270453025
30.7,289.0,4.24,165.06097950739857,177.4628935862368,1025.8331791530945,-69.80833413076958,-74.39262982389661,-75.03679313702824,110.87212874653616,2.484901718852265,0.593960687540906,0.2933932295899752,0.5018665457890304,-277.0513672793403,-139.04281270261052,-138.36976039277351,887.463418760321,0.13488524567611332,96.31337270453025
32.79,288.0,4.24,161.64112809331635,171.75045647683152,899.6102256785605,-52.91794964046203,-57.70828416534121,-58.98468244865627,110.54219454632373,2.4791548227097944,0.5916619290839178,0.29089764541891117,0.4918656824928763,-205.43885469786954,-101.04832247652246,-102.78636806099713,796.8238576175634,0.11425655814824376,96.31337270453025
34.88,285.0,4.24,159.43729482264754,167.52823314295412,804.6361496559631,-40.517660164592975,-45.072512906937014,-46.375078794015224,110.16667970569524,2.472639562885753,0.5890558251543013,0.28808118263278465,0.481426931745903,-152.2100171907807,-73.2780015571487,-75.84455044828447,728.7915992076786,0.09425943698989063,96.31337270453025
36.96,283.0,2.83,157.80909438019017,164.3316235543238,730.6515827922077,-33.0368601824871,-36.449293102458014,-37.434765842522935,109.89496974608599,2.4679421377842696,0.5871768551137079,0.2860589736698535,0.4724378122186217,-115.68186929957966,-54.65248924525395,-56.84989802230038,673.8016847699073,0.07780712361567292,96.31337270453025
38.9,275.0,2.83,156.23225877219173,161.66047166824671,671.8279717223651,-29.08176041637336,-30.835957307573107,-31.58849781414684,109.92722058905379,2.4684989698046724,0.587399587921869,0.2862983170985946,0.4675965914562841,-91.83968457998989,-42.94392347002353,-44.35962516552487,627.4683465568402,0.06602824983872005,96.31337270453025
40.99,272.0,2.83,153.8084239268066,158.5730150435439,613.452088314223,-26.692235108374586,-27.511375644310284,-27.879973130275168,110.18901637136064,2.4730263526648915,0.5892105410659566,0.28824800759664165,0.4651011142234867,-76.43282924599049,-35.54899404556368,-36.310559384038804,577.1415289301842,0.059190538390407714,96.31337270453025
43.08,271.0,2.83,151.02961989175566,155.35688204904216,560.2544289693593,-24.8512706660375,-25.3135495445301,-25.35852910953494,110.57056751823555,2.4796482023010262,0.5918592809204105,0.29111148031958434,0.4639852242765314,-65.63694341869984,-30.454571912951447,-30.77564334614219,529.4787856232172,0.054931548515835704,96.31337270453025
45.16,274.0,4.24,147.7538523179032,151.7352121295515,509.8222896368468,-23.89475184827886,-23.266342693384573,-23.167621640884654,110.8707869641498,2.4848783043810503,0.5939513217524202,0.2933830404362049,0.4618523966736312,-57.006814148551406,-26.328733741236736,-26.40331543886738,483.4189741979794,0.051789252795664965,96.31337270453025
47.1,277.0,4.24,144.2488500629785,147.8638005057357,464.1975265392782,-22.0477296835862,-20.93497427780231,-20.811742013653415,111.02165888916903,2.487513266922337,0.5950053067689348,0.2945307844063007,0.45827212874323997,-48.94218436917936,-22.42883901620795,-22.419803726291867,441.7777228129863,0.04829798188163075,96.31337270453025
49.19,281.0,4.24,140.69731206457675,143.90104690376648,420.96993901199437,-18.84572616064571,-18.24270471712814,-18.12733442133807,110.96420720657957,2.4865093538897804,0.5946037415559122,0.29409323531669884,0.4517963426357051,-40.95370788861301,-18.502735441446383,-18.535834067963165,402.4341049440312,0.04403125342267025,96.31337270453025
51.27,286.0,4.24,137.87948236710045,140.6067857537466,385.61084844938557,-15.035393030463272,-15.21025289976263,-15.252240544143453,110.63487470553054,2.4807670208842505,0.5923068083537002,0.29159667438677694,0.44224273758439614,-33.18589012730199,-14.676218899073016,-14.81405387517923,370.79679457420633,0.03841710868547748,96.31337270453025
53.36,282.0,4.24,136.02619609191152,138.26573183547686,358.2723500749625,-11.38992286266665,-12.30738295697461,-12.503682073792667,109.90159565823554,2.468056522506162,0.5872226090024649,0.28610813162341525,0.4282810347316299,-26.298785663025022,-11.26327113594571,-11.512117255712845,346.76023281924967,0.03213230731677766,96.31337270453025
55.3,283.0,4.24,135.252950991374,137.06178570265308,339.70945931283904,-8.732492761451313,-9.995426734009921,-10.27136135473671,108.92088341748722,2.4512156836679604,0.5804862734671842,0.2789156863371001,0.4124130370248742,-20.8452879638492,-8.596868516829105,-8.907275734628882,330.80218357821013,0.02622027585762973,96.31337270453025
57.38,288.0,5.66,134.66139719166156,136.17402211875802,323.1677291739282,-7.533379969646109,-8.512373825810503,-8.766187856909486,108.34363977834457,2.441386104890726,0.5765544419562905,0.2747595803439004,0.40087951249957793,-17.11658396670927,-6.8616878362325044,-7.13963761571215,316.02809155821603,0.0220926688254495,96.31337270453025
59.47,287.0,5.66,134.05734151021318,135.4042813207913,308.29526483941476,-7.285945045822256,-7.791422892128177,-7.9684238461512455,108.71494186787335,2.4477020071104896,0.5790808028441958,0.27742649593825885,0.3993039758033642,-14.926864894747364,-5.9603564987522875,-6.103053425493005,302.19221141392177,0.019796130922322054,96.31337270453025
61.56,289.0,7.07,132.9925603452125,134.23628496051282,292.71247888239117,-7.620128489466187,-7.601957978688918,-7.681755547389469,109.481943508182,2.460828392102421,0.5843313568409685,0.28300999890351036,0.4017638537400593,-13.657564986242646,-5.487115941578145,-5.3989456274369685,287.3135332549542,0.018444535224636627,96.31337270453025
63.64,294.0,7.07,131.45261647618142,132.65628556536626,276.51932903834074,-7.785168194255018,-7.6523156236107,-7.635389078781198,106.22146816194571,2.4057552108025346,0.5623020843210139,0.25995342559965523,0.3639347581012786,-13.050043548366995,-4.749364441986094,-4.995281608516043,271.5240474298247,0.018064855089473413,96.31337270453025
